Student ID,GENDER,YR_CDE,TRM_CDE,Dept,CourseID,Delivery,CRS_TITLE,ATH_TEAM_MEMBR,Grade,HRS_ATTEMPTED,HRS_EARNED,
46E16F67-737D-48B8A-407-4DE16CFEAE09,F,2012,SU,BUS  ,615,OL,Human Resource Management ,N ,A-,3,3,
46E16F67-737D-48B8A-407-4DE16CFEAE09,F,2013,FA,BUS  ,550,OL,Managerial Finance ,N ,A-,3,3,
46E16F67-737D-48B8A-407-4DE16CFEAE09,F,2013,FA,ECON ,555,OL,Managerial Economics ,N ,A-,3,3,
46E16F67-737D-48B8A-407-4DE16CFEAE09,F,2013,SP,BUS  ,525,OL,Leadership Strategies ,N ,A,3,3,
46E16F67-737D-48B8A-407-4DE16CFEAE09,F,2013,SP,BUS  ,635,OL,Corporate Sustainability ,N ,B+,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1995,QF,BIOL ,110,EU,General Biology (Lab) ,N ,A+,4,4,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1995,QF,CM   ,100,EU,Chapel ,N ,P,0,0,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1995,QF,E    ,101,EU,Freshman Seminar ,N ,A+,1,1,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1995,QF,FA   ,121,EU,Fine Arts ,N ,A-,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1995,QF,H    ,105,EU,Hist Western Civ ,N ,B+,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1995,QF,WR   ,121,EU,Writing Lab ,N ,A-,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1995,QS,C    ,112,EU,Interp Speech II (Lab) ,N ,B-,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1995,QS,CM   ,100,EU,Chapel ,N ,P,0,0,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1995,QS,CM   ,201,EU,Xns In Church and Wrd ,N ,A-,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1995,QS,H    ,107,EU,Hist Western Civ ,N ,B,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1995,QS,MCP  ,106,EU,Class Piano ,N ,A,1,1,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1995,QS,NT   ,122,EU,Nt Survey II ,N ,B,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1995,QS,WR   ,223,EU,English Comp.  A ,N ,B+,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1995,QW,C    ,111,EU,Interp Speech I (Lab) ,N ,B+,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1995,QW,CM   ,100,EU,Chapel ,N ,P,0,0,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1995,QW,H    ,106,EU,Hist Western Civ ,N ,B+,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1995,QW,MATH ,100,EU,Algebra ,N ,A,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1995,QW,NT   ,121,EU,Nt Survey I ,N ,B+,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1995,QW,WR   ,122,EU,English Comp II ,N ,B,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1996,QF,ACTG ,211,EU,Principles/Account. ,N ,B,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1996,QF,C    ,211,EU,Extemp Speech A ,N ,B,2,2,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1996,QF,CM   ,100,EU,Chapel ,N ,P,0,0,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1996,QF,EC   ,201,EU,Microeconomics ,N ,C,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1996,QF,M    ,111,EU,Music Appreciation ,N ,B,2,2,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1996,QF,NT   ,205,EU,Nt Acts ,N ,B,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1996,QF,PSY  ,201,EU,Intro Psychology ,N ,C,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1996,QS,ANTH ,204,EU,Cultural Anth ,N ,A-,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1996,QS,BUS  ,420,EU,Managerial Finance ,N ,B,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1996,QS,CM   ,100,EU,Chapel ,N ,P,0,0,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1996,QS,GEOL ,306,EU,Volcanoes/Earthquake ,N ,A,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1996,QS,H    ,207,EU,U.S. History ,N ,C+,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1996,QS,OT   ,122,EU,Ot Survey II ,N ,A-,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1996,QW,ACTG ,213,EU,Managerial Account. ,N ,A-,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1996,QW,C    ,212,EU,Extemp Speech A ,N ,B,2,2,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1996,QW,CM   ,100,EU,Chapel ,N ,P,0,0,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1996,QW,EC   ,202,EU,Macroeconomics ,N ,B-,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1996,QW,EN   ,243,EU,Intro To Poetry ,N ,B,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1996,QW,OT   ,121,EU,Ot Survey I ,N ,B,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1997,QF,BUS  ,305,EU,Marketing ,N ,B+,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1997,QF,BUS  ,333,EU,Principles Of Mgmt ,N ,B+,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1997,QF,BUS  ,370,EU,Legal Environ Of Bus ,N ,A,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1997,QF,CIS  ,121,EU,Computers At Work ,N ,A+,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1997,QF,CM   ,100,EU,Chapel ,N ,P,0,0,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1997,QF,PHL  ,301,EU,History Of Philosoph ,N ,A-,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1997,QS,BUS  ,310,EU,Business Statistics ,N ,A-,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1997,QS,BUS  ,340,EU,Human Resource Mgmt ,N ,B,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1997,QS,CM   ,100,EU,Chapel ,N ,P,0,0,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1997,QS,H    ,335,EU,Hist Christian Ch ,N ,A,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1997,QS,PHL  ,201,EU,Elementary Logic ,N ,A,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1997,QW,BUS  ,334,EU,Systems Management ,N ,A-,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1997,QW,BUS  ,405,EU,Reading and Conference ,N ,A,1,1,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1997,QW,CM   ,100,EU,Chapel ,N ,P,0,0,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1997,QW,E    ,391,EU,Life and Career Plan ,N ,A,1,1,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1997,QW,MCP  ,107,EU,Class Piano ,N ,A-,1,1,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1997,QW,PHL  ,302,EU,History Of Philosoph ,N ,A-,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1997,QW,PS   ,201,EU,Us Government ,N ,A-,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1998,QF,BUS  ,405,EU,Reading and Conference ,N ,A,1,1,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1998,QF,BUS  ,493,EU,Field Intern: Manag ,N ,P,5,5,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1998,QF,CM   ,100,EU,Chapel ,N ,P,0,0,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1998,QF,CSOC ,431,EU,Urban Ministry ,N ,A,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1998,QF,GEO  ,310,EU,World Cul and Pol Geog ,N ,A-,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1998,QS,BUS  ,430,EU,Group and Org Behavior ,N ,A,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1998,QS,CM   ,100,EU,Chapel ,N ,P,0,0,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1998,QS,PHL  ,305,EU,Ethics ,N ,B+,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1998,QS,SOC  ,201,EU,Intro To Sociology A ,N ,A,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1998,QS,SOC  ,440,EU,Gender and Fam Relat ,N ,B,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1998,QW,BUS  ,101,EU,Intro To Business ,N ,A,1,1,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1998,QW,BUS  ,415,EU,Operation Management ,N ,B,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1998,QW,CA-N ,425,EU,Intercultural Comm ,N ,A-,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1998,QW,CIS  ,225,EU,Electronic Aids/Calc ,N ,A,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1998,QW,CM   ,100,EU,Chapel ,N ,P,0,0,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1998,QW,SOC  ,424,EU,Global Issues ,N ,A-,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1999,QF,C    ,449,EU,Organizational Communication ,N ,A,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1999,QF,CM   ,100,EU,Chapel ,N ,P,0,0,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1999,QF,EN   ,241,EU,Introduction To Fiction ,N ,A-,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1999,QF,PSY  ,340,EU,Social Psychology ,N ,B,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1999,QF,PSY  ,360,EU,Values And Human Behavior ,N ,P,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1999,QS,BUS  ,405,EU,Rc:Business ,N ,A,1,1,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1999,QS,BUS  ,410,EU,Christian Leadership In Business ,N ,A,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1999,QS,BUS  ,495,EU,Management Internship (N) ,N ,P,5,5,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1999,QS,CM   ,100,EU,Chapel ,N ,P,0,0,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1999,QS,PSY  ,207,EU,Careers In Psychology ,N ,A,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1999,QW,BUS  ,405,EU,Rc:Business ,N ,A,1,1,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1999,QW,BUS  ,445,EU,Management Of Information Technology,N ,A,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1999,QW,BUS  ,494,EU,Management Internship (N) ,N ,P,5,5,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1999,QW,C    ,330,OL,Interpersonal Communication ,N ,A,3,3,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,1999,QW,CM   ,100,EU,Chapel ,N ,P,0,0,
828E2A4EB-44B-46CAA-AE6A-0E7063A9330,F,2000,QW,CIS  ,223,EU,Software Apps:Word Proc. and Pres. Graphics,N ,A,3,3,
D8DCFDDA-FD6D-4DC9A-100-68E1C4BC9868,M,1994,QF,CM   ,100,EU,Chapel ,N ,P,0,0,
D8DCFDDA-FD6D-4DC9A-100-68E1C4BC9868,M,1994,QF,H    ,105,EU,Hist Western Civ ,N ,A,3,3,
D8DCFDDA-FD6D-4DC9A-100-68E1C4BC9868,M,1994,QF,NT   ,121,EU,Nt Survey I ,N ,B+,3,3,
D8DCFDDA-FD6D-4DC9A-100-68E1C4BC9868,M,1994,QF,OT   ,121,EU,8Th Cent Prophets ,N ,A,3,3,
D8DCFDDA-FD6D-4DC9A-100-68E1C4BC9868,M,1994,QF,PSY  ,201,EU,Intro Psychology ,N ,B+,3,3,
D8DCFDDA-FD6D-4DC9A-100-68E1C4BC9868,M,1994,QF,WR   ,121,EU,English Comp I ,N ,A,3,3,
D8DCFDDA-FD6D-4DC9A-100-68E1C4BC9868,M,1994,QS,C    ,112,EU,Interp Speech II (Lab) ,N ,A,3,3,
D8DCFDDA-FD6D-4DC9A-100-68E1C4BC9868,M,1994,QS,CIS  ,121,EU,Computers At Work ,N ,A,3,3,
D8DCFDDA-FD6D-4DC9A-100-68E1C4BC9868,M,1994,QS,CM   ,100,EU,Chapel ,N ,P,0,0,
D8DCFDDA-FD6D-4DC9A-100-68E1C4BC9868,M,1994,QS,H    ,107,EU,Hist Western Civ ,N ,A+,3,3,
D8DCFDDA-FD6D-4DC9A-100-68E1C4BC9868,M,1994,QS,PHL  ,201,EU,Elem Logic ,N ,A,3,3,
D8DCFDDA-FD6D-4DC9A-100-68E1C4BC9868,M,1994,QS,SOC  ,201,EU,Intro Sociology ,N ,A-,3,3,
D8DCFDDA-FD6D-4DC9A-100-68E1C4BC9868,M,1994,QS,WR   ,123,EU,English Comp III ,N ,A,3,3,
D8DCFDDA-FD6D-4DC9A-100-68E1C4BC9868,M,1994,QW,C    ,111,EU,Interp Speech I (Lab) ,N ,A,3,3,
D8DCFDDA-FD6D-4DC9A-100-68E1C4BC9868,M,1994,QW,CM   ,100,EU,Chapel ,N ,P,0,0,
D8DCFDDA-FD6D-4DC9A-100-68E1C4BC9868,M,1994,QW,CM   ,201,EU,Xns In Church and Wrd ,N ,A,3,3,
D8DCFDDA-FD6D-4DC9A-100-68E1C4BC9868,M,1994,QW,H    ,106,EU,Hist Western Civ ,N ,A,3,3,
D8DCFDDA-FD6D-4DC9A-100-68E1C4BC9868,M,1994,QW,NT   ,122,EU,Nt Survey II ,N ,A,3,3,
D8DCFDDA-FD6D-4DC9A-100-68E1C4BC9868,M,1994,QW,PSY  ,202,EU,Intro Psychology ,N ,B+,3,3,
D8DCFDDA-FD6D-4DC9A-100-68E1C4BC9868,M,1994,QW,WR   ,122,EU,English Comp II ,N ,A,3,3,
D8DCFDDA-FD6D-4DC9A-100-68E1C4BC9868,M,1995,QF,C    ,211,EU,Extemp Speech ,N ,A,2,2,
D8DCFDDA-FD6D-4DC9A-100-68E1C4BC9868,M,1995,QF,CM   ,100,EU,Chapel ,N ,P,0,0,
D8DCFDDA-FD6D-4DC9A-100-68E1C4BC9868,M,1995,QF,CM   ,325,EU,Teach. Strats - Chur ,N ,A-,3,3,
D8DCFDDA-FD6D-4DC9A-100-68E1C4BC9868,M,1995,QF,CM   ,332,EU,Dyn. Of Xc Ministry ,N ,A,3,3,
D8DCFDDA-FD6D-4DC9A-100-68E1C4BC9868,M,1995,QF,H    ,331,EU,Hist Of Christianity ,N ,A-,3,3,
D8DCFDDA-FD6D-4DC9A-100-68E1C4BC9868,M,1995,QF,LING ,290,EU,Intro To Linguistics ,N ,A,3,3,
D8DCFDDA-FD6D-4DC9A-100-68E1C4BC9868,M,1995,QF,MCG  ,106,EU,Guitar In Ministry ,N ,A+,1,1,
D8DCFDDA-FD6D-4DC9A-100-68E1C4BC9868,M,1995,QF,PHL  ,301,EU,Intro Hist Of Philos ,N ,B+,3,3,
D8DCFDDA-FD6D-4DC9A-100-68E1C4BC9868,M,1995,QS,BIOL ,210,EU,Human Anat. and Physio ,N ,A+,3,3,
D8DCFDDA-FD6D-4DC9A-100-68E1C4BC9868,M,1995,QS,C    ,330,EU,Interpersonal Comm ,N ,A,3,3,
D8DCFDDA-FD6D-4DC9A-100-68E1C4BC9868,M,1995,QS,C    ,339,EU,Fundamentals Of Comm ,N ,A,3,3,
D8DCFDDA-FD6D-4DC9A-100-68E1C4BC9868,M,1995,QS,CM   ,100,EU,Chapel ,N ,P,0,0,
D8DCFDDA-FD6D-4DC9A-100-68E1C4BC9868,M,1995,QS,PHL  ,305,EU,Ethics ,N ,B+,3,3,
D8DCFDDA-FD6D-4DC9A-100-68E1C4BC9868,M,1995,QW,C    ,212,EU,Extemp Speech ,N ,A+,2,2,
